Country,RegionCode,Month,MonthlyCases
USA,US_NC,2020-08,47201.0
USA,US_NC,2020-09,37753.0
USA,US_NC,2020-10,64003.0
USA,US_NC,2020-11,89877.0
USA,US_NC,2020-12,175033.0
USA,US_NC,2021-01,217981.0
USA,US_NC,2021-02,101022.0
USA,US_NC,2021-03,55584.0
USA,US_NC,2021-04,55620.0
USA,US_NC,2021-05,31402.0
USA,US_NC,2021-06,12535.0
USA,US_NC,2021-07,34387.0
USA,US_NC,2021-08,165578.0
USA,US_NC,2021-09,181600.0
USA,US_NC,2021-10,82260.0
USA,US_NC,2021-11,56491.0
USA,US_NC,2021-12,28658.0
USA,US_NE,2020-01,0.0
USA,US_NE,2020-02,0.0
USA,US_NE,2020-03,172.0
USA,US_NE,2020-04,4109.0
USA,US_NE,2020-05,9820.0
USA,US_NE,2020-06,5076.0
USA,US_NE,2020-07,7034.0
USA,US_NE,2020-08,8076.0
USA,US_NE,2020-09,11277.0
USA,US_NE,2020-10,25168.0
USA,US_NE,2020-11,57675.0
USA,US_NE,2020-12,38391.0
USA,US_NE,2021-01,23915.0
USA,US_NE,2021-02,10169.0
USA,US_NE,2021-03,8464.0
USA,US_NE,2021-04,10480.0
USA,US_NE,2021-05,3542.0
USA,US_NE,2021-06,1120.0
USA,US_NE,2021-07,3962.0
USA,US_NE,2021-08,15804.0
USA,US_NE,2021-09,22195.0
USA,US_NE,2021-10,18317.0
USA,US_NE,2021-11,25062.0
USA,US_NE,2021-12,10019.0
USA,US_NH,2020-01,0.0
USA,US_NH,2020-02,0.0
USA,US_NH,2020-03,357.0
USA,US_NH,2020-04,1789.0
USA,US_NH,2020-05,2505.0
USA,US_NH,2020-06,1131.0
USA,US_NH,2020-07,801.0
USA,US_NH,2020-08,692.0
USA,US_NH,2020-09,991.0
USA,US_NH,2020-10,2818.0
USA,US_NH,2020-11,9949.0
USA,US_NH,2020-12,23849.0
USA,US_NH,2021-01,21067.0
USA,US_NH,2021-02,9475.0
USA,US_NH,2021-03,8752.0
USA,US_NH,2021-04,10710.0
USA,US_NH,2021-05,3840.0
USA,US_NH,2021-06,778.0
USA,US_NH,2021-07,1153.0
USA,US_NH,2021-08,7032.0
USA,US_NH,2021-09,12579.0
USA,US_NH,2021-10,12173.0
USA,US_NH,2021-11,28803.0
USA,US_NH,2021-12,11845.0
USA,US_NJ,2020-01,0.0
USA,US_NJ,2020-02,0.0
USA,US_NJ,2020-03,18696.0
USA,US_NJ,2020-04,99956.0
USA,US_NJ,2020-05,42108.0
USA,US_NJ,2020-06,11873.0
USA,US_NJ,2020-07,11320.0
USA,US_NJ,2020-08,11547.0
USA,US_NJ,2020-09,15161.0
USA,US_NJ,2020-10,39429.0
USA,US_NJ,2020-11,117996.0
USA,US_NJ,2020-12,160941.0
USA,US_NJ,2021-01,167802.0
USA,US_NJ,2021-02,92527.0
USA,US_NJ,2021-03,119460.0
USA,US_NJ,2021-04,88407.0
USA,US_NJ,2021-05,19109.0
USA,US_NJ,2021-06,7063.0
USA,US_NJ,2021-07,15958.0
USA,US_NJ,2021-08,52613.0
USA,US_NJ,2021-09,62604.0
USA,US_NJ,2021-10,44347.0
USA,US_NJ,2021-11,53788.0
USA,US_NJ,2021-12,36837.0

